courseno,semester,acadyear,lectsection,labsection,studentno
CMSC 132,1,2008-2009,Y,6L,2017-09745
CMSC 165,2,2013-2014,Y,4L,2012-94340
CMSC 2,1,2011-2012,V,4L,2014-27269
CMSC 124,2,2007-2008,Y,2L,2016-25331
CMSC 190-2,2,2009-2010,Z,4L,2012-84520
CMSC 191,1,2010-2011,Y,6L,2019-42479
CMSC 125,1,2009-2010,Z,4L,2017-52133
CMSC 2,2,2008-2009,U,6L,2014-89177
CMSC 132,1,2011-2012,X,3L,2015-89550
CMSC 128,2,2012-2013,V,5L,2014-46992
CMSC 170,1,2010-2011,W,1L,2010-69279
CMSC 11,2,2013-2014,W,3L,2014-67475
CMSC 128,2,2013-2014,U,1L,2010-82941
CMSC 125,2,2007-2008,U,5L,2018-99072
CMSC 2,1,2011-2012,Y,2L,2016-50095
CMSC 132,2,2009-2010,U,6L,2016-32183
CMSC 190-2,1,2010-2011,Z,2L,2019-33014
CMSC 123,2,2009-2010,Y,3L,2014-71111
CMSC 150,2,2010-2011,Z,1L,2019-17768
CMSC 21,1,2013-2014,U,4L,2013-37467
CMSC 21,1,2006-2007,Y,4L,2016-53504
CMSC 21,1,2010-2011,V,5L,2014-68814
CMSC 131,1,2008-2009,W,1L,2013-41966
CMSC 198,2,2009-2010,W,3L,2010-45597
CMSC 161,2,2012-2013,U,2L,2011-34193
CMSC 22,1,2013-2014,W,2L,2012-47026
CMSC 128,1,2006-2007,V,4L,2011-84082
CMSC 125,1,2006-2007,X,5L,2013-75353
CMSC 21,1,2008-2009,U,2L,2015-36015
CMSC 21,2,2008-2009,V,2L,2012-55635
CMSC 150,2,2008-2009,X,5L,2013-75383
CMSC 132,2,2014-2015,Z,4L,2013-58882
CMSC 21,2,2010-2011,U,4L,2019-74560
CMSC 165,2,2015-2016,Z,6L,2011-35131
CMSC 132,1,2007-2008,X,6L,2013-75770
CMSC 11,1,2010-2011,U,2L,2014-36448
CMSC 22,2,2013-2014,W,5L,2012-90902
CMSC 22,2,2012-2013,Z,3L,2015-96352
CMSC 190-2,2,2011-2012,W,3L,2013-69869
CMSC 128,2,2013-2014,Z,2L,2011-84639
CMSC 170,1,2008-2009,Z,1L,2019-92490
CMSC 130,2,2014-2015,W,6L,2013-91563
CMSC 130,2,2010-2011,Z,2L,2010-66794
CMSC 21,1,2008-2009,X,3L,2015-34804
CMSC 124,1,2012-2013,Z,6L,2014-95195
CMSC 130,2,2013-2014,Z,4L,2018-28028
CMSC 191,1,2009-2010,Y,5L,2011-83641
CMSC 165,2,2012-2013,W,5L,2011-17852
CMSC 2,1,2010-2011,X,4L,2013-83590
CMSC 22,1,2012-2013,W,6L,2016-58370
CMSC 124,2,2014-2015,V,5L,2017-61360
CMSC 131,2,2012-2013,W,6L,2012-53470
CMSC 22,1,2012-2013,Z,5L,2018-50368
CMSC 150,2,2015-2016,X,4L,2014-47586
CMSC 125,1,2013-2014,X,3L,2018-94085
CMSC 170,1,2009-2010,Y,5L,2018-26636
CMSC 165,1,2009-2010,W,1L,2018-11462
CMSC 123,1,2006-2007,Y,6L,2011-48151
CMSC 170,2,2006-2007,U,3L,2016-95902
CMSC 150,2,2014-2015,W,6L,2010-50515
CMSC 123,1,2010-2011,Y,3L,2014-80699
CMSC 128,2,2008-2009,Y,6L,2018-70986
CMSC 21,1,2014-2015,Z,3L,2012-60917
CMSC 170,1,2009-2010,X,4L,2011-81982
CMSC 130,2,2008-2009,X,1L,2012-23245
CMSC 124,1,2009-2010,V,6L,2018-28798
CMSC 170,2,2015-2016,X,2L,2015-00047
﻿courseno,semester,acadyear,lectsection,labsection,studentno
CMSC 11,1,2013-2014,X,2L,2011-90353
CMSC 161,1,2006-2007,Z,4L,2011-27997
CMSC 125,2,2009-2010,Z,4L,2011-96132
CMSC 131,1,2010-2011,U,1L,2014-13630
CMSC 130,2,2012-2013,X,6L,2016-39502
CMSC 132,1,2011-2012,W,5L,2017-65336
CMSC 21,2,2006-2007,X,2L,2014-28543
CMSC 124,1,2009-2010,Y,3L,2018-44599
CMSC 11,2,2006-2007,X,6L,2010-84544
CMSC 190-2,2,2006-2007,U,6L,2015-94494
CMSC 190-2,1,2006-2007,W,1L,2013-89373
CMSC 170,2,2014-2015,W,5L,2011-69324
CMSC 128,1,2013-2014,X,2L,2019-31877
CMSC 123,1,2008-2009,Z,3L,2019-35173
CMSC 2,2,2008-2009,Y,4L,2014-92865
CMSC 2,1,2014-2015,W,4L,2019-97959
CMSC 21,1,2015-2016,W,1L,2019-01690
CMSC 190-1,1,2014-2015,Z,3L,2014-47735
CMSC 131,2,2015-2016,X,6L,2015-00183
CMSC 198,1,2008-2009,U,6L,2011-34735
CMSC 198,2,2012-2013,U,5L,2010-57353
CMSC 125,1,2010-2011,X,2L,2014-33257
CMSC 131,2,2015-2016,V,2L,2010-73600
CMSC 170,1,2013-2014,X,4L,2011-69485
CMSC 11,1,2009-2010,X,4L,2013-36385
CMSC 190-1,1,2011-2012,U,1L,2010-52893
CMSC 22,2,2008-2009,V,1L,2016-22218
CMSC 132,1,2015-2016,W,6L,2019-63263
CMSC 128,2,2009-2010,W,3L,2019-37250
CMSC 190-2,2,2011-2012,Y,2L,2013-29895
CMSC 2,1,2014-2015,V,4L,2017-84361
CMSC 165,2,2012-2013,X,1L,2014-59009
CMSC 123,1,2007-2008,Z,6L,2011-35625
CMSC 130,2,2007-2008,Y,3L,2018-39575
CMSC 131,2,2014-2015,U,3L,2013-51618
CMSC 132,2,2012-2013,W,3L,2017-99067
CMSC 190-2,2,2011-2012,W,6L,2019-97923
CMSC 21,2,2013-2014,Z,6L,2011-38028
CMSC 191,2,2015-2016,W,5L,2017-59742
CMSC 125,1,2013-2014,V,2L,2012-68677
CMSC 22,2,2007-2008,U,3L,2015-05560
CMSC 170,1,2011-2012,X,3L,2016-90103
CMSC 130,1,2010-2011,X,2L,2015-43183
CMSC 22,2,2013-2014,U,3L,2011-35114
CMSC 21,2,2013-2014,Y,4L,2014-16718
CMSC 128,2,2014-2015,W,2L,2018-32296
CMSC 190-1,2,2010-2011,X,3L,2011-91576
CMSC 21,1,2013-2014,U,2L,2017-60032
CMSC 170,1,2007-2008,U,1L,2017-84530
CMSC 190-1,2,2014-2015,X,6L,2017-78995
CMSC 150,2,2006-2007,W,3L,2015-27984
CMSC 124,2,2009-2010,Y,5L,2017-73003
CMSC 190-2,2,2011-2012,X,1L,2019-71614
CMSC 125,1,2013-2014,Y,4L,2016-30906
CMSC 123,1,2010-2011,W,3L,2010-21638
CMSC 21,1,2010-2011,V,3L,2014-82724
CMSC 161,1,2008-2009,U,1L,2010-07886
CMSC 170,2,2007-2008,Y,2L,2019-54942
CMSC 2,2,2007-2008,Y,1L,2016-65056
CMSC 190-2,2,2006-2007,Z,3L,2010-40555
CMSC 150,1,2013-2014,Y,4L,2012-07044
CMSC 124,2,2010-2011,W,1L,2012-04171
CMSC 191,2,2015-2016,W,4L,2019-33055
CMSC 11,1,2012-2013,Z,4L,2019-80621
CMSC 2,1,2013-2014,Z,3L,2019-91002
CMSC 128,2,2008-2009,V,1L,2015-24927
CMSC 11,2,2015-2016,W,3L,2018-14625
CMSC 125,2,2008-2009,V,2L,2012-38932
CMSC 190-1,1,2006-2007,X,3L,2015-48474
CMSC 198,2,2007-2008,Y,5L,2017-23009
CMSC 131,1,2010-2011,V,3L,2015-42650
CMSC 11,1,2007-2008,Z,5L,2016-58752
CMSC 128,2,2013-2014,V,5L,2017-45469
CMSC 11,1,2008-2009,W,2L,2015-43334
CMSC 22,1,2012-2013,V,5L,2017-02052
CMSC 170,1,2011-2012,Z,3L,2011-05321
CMSC 130,2,2015-2016,W,5L,2016-93393
CMSC 132,1,2012-2013,Y,2L,2011-45208
CMSC 191,2,2015-2016,Y,1L,2018-24719
CMSC 128,2,2007-2008,Z,2L,2015-79704
CMSC 191,2,2010-2011,X,2L,2016-85967
CMSC 150,1,2015-2016,Z,2L,2014-58463
CMSC 22,1,2009-2010,V,3L,2016-87065
CMSC 130,2,2014-2015,Z,1L,2019-76921
CMSC 132,1,2007-2008,V,6L,2014-89219
CMSC 131,2,2008-2009,X,1L,2015-40495
CMSC 125,2,2010-2011,X,6L,2011-72120
CMSC 125,2,2014-2015,U,3L,2017-83403
CMSC 190-2,1,2006-2007,X,4L,2012-17403
CMSC 191,1,2010-2011,Y,4L,2019-04375
CMSC 165,2,2015-2016,U,4L,2014-23723
CMSC 2,2,2014-2015,Y,4L,2012-45974
CMSC 2,2,2012-2013,V,6L,2016-09977
CMSC 21,2,2012-2013,W,6L,2014-34871
CMSC 132,2,2012-2013,U,1L,2015-97958
CMSC 123,2,2015-2016,X,4L,2019-44749
CMSC 125,2,2012-2013,X,3L,2012-15790
CMSC 132,2,2012-2013,Y,6L,2013-52084
CMSC 124,1,2006-2007,X,2L,2018-94224
CMSC 124,1,2006-2007,Z,3L,2011-42097
CMSC 150,1,2014-2015,V,6L,2015-67488
CMSC 130,2,2006-2007,U,3L,2018-83256
CMSC 128,1,2012-2013,W,1L,2011-22222
CMSC 161,2,2007-2008,X,5L,2015-64014
CMSC 150,1,2011-2012,W,2L,2017-89243
CMSC 130,2,2013-2014,U,4L,2014-67894
CMSC 198,2,2012-2013,X,5L,2019-39379
CMSC 190-2,2,2014-2015,U,6L,2016-98729
CMSC 2,1,2011-2012,X,4L,2011-71893
CMSC 132,2,2008-2009,Z,2L,2014-25381
CMSC 150,1,2008-2009,Y,1L,2012-59390
CMSC 191,2,2013-2014,W,6L,2019-27394
CMSC 190-2,1,2006-2007,W,6L,2010-61553
CMSC 198,1,2014-2015,U,3L,2014-27939
CMSC 124,2,2013-2014,Z,2L,2014-22609
CMSC 190-2,1,2015-2016,U,5L,2014-80864
CMSC 128,1,2013-2014,Z,5L,2017-31864
CMSC 132,2,2010-2011,Y,3L,2012-36023
CMSC 21,1,2011-2012,U,6L,2015-61914
CMSC 191,2,2010-2011,Y,2L,2011-75540
CMSC 130,1,2010-2011,W,1L,2018-25893
CMSC 11,1,2013-2014,U,4L,2018-21004
CMSC 21,1,2009-2010,X,2L,2014-57708
CMSC 190-1,2,2012-2013,Y,1L,2016-54789
CMSC 125,1,2011-2012,Y,5L,2012-41438
CMSC 2,1,2013-2014,U,3L,2013-45203
CMSC 131,1,2011-2012,U,5L,2019-08482
CMSC 21,2,2012-2013,Z,3L,2017-87802
CMSC 22,2,2013-2014,Z,5L,2013-03503
CMSC 131,2,2009-2010,Z,4L,2012-07962
CMSC 198,2,2007-2008,Y,6L,2017-81147
CMSC 128,1,2013-2014,W,4L,2011-81847
CMSC 124,1,2011-2012,Z,1L,2017-85843
CMSC 170,1,2009-2010,V,4L,2012-33378
CMSC 125,1,2009-2010,X,3L,2015-97159
CMSC 190-1,2,2011-2012,X,3L,2012-80125
CMSC 123,2,2012-2013,Y,3L,2019-57246
CMSC 22,2,2009-2010,Z,1L,2011-04214
CMSC 123,2,2006-2007,Y,4L,2015-58482
CMSC 132,2,2015-2016,X,5L,2018-53268
CMSC 130,2,2007-2008,Y,6L,2010-83033
CMSC 170,2,2015-2016,U,4L,2014-56539
CMSC 22,2,2007-2008,Y,5L,2015-54140
CMSC 132,1,2011-2012,U,6L,2018-72317
CMSC 11,2,2006-2007,X,1L,2012-05106
CMSC 190-1,1,2014-2015,U,2L,2016-73445
CMSC 125,1,2013-2014,W,3L,2011-69164
CMSC 124,2,2015-2016,W,3L,2013-41470
CMSC 150,1,2013-2014,Y,3L,2010-23837
CMSC 132,2,2010-2011,Z,3L,2015-63555
CMSC 150,1,2009-2010,Y,4L,2013-95881
CMSC 125,1,2014-2015,X,5L,2015-72402
CMSC 124,2,2015-2016,Z,3L,2010-48622
CMSC 123,1,2015-2016,U,5L,2015-36010
CMSC 2,2,2014-2015,Y,3L,2013-37927
CMSC 124,1,2006-2007,V,6L,2017-32570
CMSC 198,2,2008-2009,Y,2L,2012-02090
CMSC 2,1,2014-2015,Z,1L,2018-29103
CMSC 132,1,2012-2013,Y,1L,2015-99137
CMSC 161,1,2012-2013,U,5L,2011-72638
CMSC 124,2,2012-2013,Z,4L,2011-71304
CMSC 190-1,1,2014-2015,U,2L,2017-46113
CMSC 198,2,2010-2011,X,4L,2011-16031
CMSC 2,1,2012-2013,Z,4L,2012-39588
CMSC 165,2,2011-2012,W,5L,2013-06911
CMSC 132,1,2011-2012,Z,4L,2017-48570
CMSC 170,1,2012-2013,V,2L,2018-44939
CMSC 128,1,2013-2014,Z,2L,2015-19455
CMSC 190-1,2,2009-2010,X,1L,2010-70380
CMSC 170,1,2009-2010,Y,2L,2011-31517
CMSC 124,2,2012-2013,Y,4L,2017-92003
CMSC 170,2,2013-2014,X,1L,2017-47874
CMSC 191,2,2014-2015,V,3L,2017-45174
CMSC 132,1,2014-2015,V,3L,2018-10169
CMSC 131,1,2007-2008,Y,6L,2014-98266
CMSC 125,1,2008-2009,V,4L,2010-43061
CMSC 165,1,2009-2010,X,3L,2014-05062
CMSC 21,2,2009-2010,Y,6L,2010-29818
CMSC 2,2,2006-2007,U,4L,2017-17061
CMSC 11,2,2012-2013,Y,4L,2015-02778
CMSC 123,1,2010-2011,V,4L,2017-88307
CMSC 124,1,2008-2009,Z,6L,2017-11512
CMSC 198,2,2009-2010,V,4L,2017-24802
CMSC 190-1,2,2007-2008,W,1L,2018-52126
CMSC 198,1,2010-2011,W,3L,2014-71440
CMSC 130,2,2006-2007,Z,5L,2012-98395
CMSC 170,1,2010-2011,Z,2L,2011-20760
CMSC 11,1,2014-2015,X,2L,2019-01377
CMSC 21,2,2009-2010,W,6L,2010-05226
CMSC 22,1,2006-2007,U,2L,2017-85917
CMSC 124,2,2008-2009,X,3L,2012-73609
CMSC 170,2,2012-2013,Y,1L,2014-33517
CMSC 191,1,2014-2015,X,4L,2015-17148
CMSC 170,1,2013-2014,W,4L,2011-56752
CMSC 124,1,2012-2013,U,2L,2011-64745
CMSC 124,1,2010-2011,U,2L,2014-22086
CMSC 21,2,2015-2016,W,3L,2011-81791
CMSC 128,1,2009-2010,W,6L,2013-36240
CMSC 130,2,2012-2013,Z,5L,2015-76685
CMSC 165,1,2015-2016,V,2L,2014-90640
CMSC 11,1,2012-2013,X,6L,2014-48056
CMSC 150,2,2006-2007,W,5L,2019-58153
CMSC 190-2,1,2012-2013,V,1L,2017-90327
CMSC 124,2,2014-2015,U,2L,2013-04026
CMSC 22,1,2006-2007,U,1L,2011-28938
CMSC 131,2,2010-2011,Y,4L,2013-78044
CMSC 21,2,2008-2009,V,4L,2019-90948
CMSC 124,2,2011-2012,Y,6L,2017-49974
CMSC 190-1,1,2007-2008,V,3L,2017-51863
CMSC 150,1,2013-2014,U,5L,2014-75901
CMSC 190-2,2,2015-2016,X,6L,2013-40517
CMSC 150,1,2011-2012,U,6L,2019-17961
CMSC 190-2,2,2015-2016,Z,6L,2018-72241
CMSC 123,1,2015-2016,V,1L,2012-03001
CMSC 123,1,2014-2015,Y,1L,2019-61737
CMSC 190-1,1,2012-2013,Z,6L,2015-81290
CMSC 128,1,2012-2013,U,4L,2010-64806
CMSC 190-2,1,2007-2008,X,4L,2010-30746
CMSC 191,1,2015-2016,Y,2L,2018-40606
CMSC 190-2,1,2012-2013,Z,5L,2017-46519
CMSC 191,1,2006-2007,V,1L,2016-13794
CMSC 130,2,2012-2013,W,2L,2013-87262
CMSC 123,1,2006-2007,X,4L,2017-82306
CMSC 198,2,2007-2008,X,2L,2011-82760
CMSC 124,1,2009-2010,W,6L,2013-56127
CMSC 124,1,2012-2013,X,5L,2011-63746
CMSC 22,1,2014-2015,Y,5L,2019-28449
CMSC 150,2,2015-2016,Y,4L,2017-94773
CMSC 191,1,2006-2007,Z,3L,2016-26990
CMSC 22,1,2014-2015,U,1L,2012-35280
CMSC 190-1,2,2013-2014,Z,6L,2011-29360
CMSC 198,2,2014-2015,U,3L,2019-66176
CMSC 128,1,2006-2007,W,2L,2012-47634
CMSC 165,2,2013-2014,Z,2L,2014-56886
CMSC 125,2,2014-2015,Y,4L,2018-41525
CMSC 22,1,2006-2007,Y,3L,2011-84810
CMSC 132,1,2012-2013,W,5L,2015-47329
CMSC 130,1,2012-2013,W,2L,2011-60562
CMSC 123,1,2007-2008,Y,1L,2018-88620
CMSC 128,1,2006-2007,V,2L,2015-77574
CMSC 123,2,2007-2008,U,5L,2017-66101
CMSC 150,1,2011-2012,U,3L,2013-18786
CMSC 123,2,2015-2016,Y,1L,2010-90271
CMSC 190-1,1,2008-2009,W,4L,2013-11068
CMSC 21,1,2015-2016,V,3L,2013-65196
CMSC 191,2,2010-2011,V,2L,2012-82962
CMSC 132,2,2007-2008,X,6L,2010-60009
CMSC 190-1,2,2008-2009,Y,6L,2012-62678
CMSC 150,2,2010-2011,V,2L,2010-75370
CMSC 165,1,2014-2015,W,3L,2014-12908
CMSC 21,1,2008-2009,U,1L,2010-84134
CMSC 11,1,2015-2016,X,2L,2013-59790
CMSC 22,1,2011-2012,Y,6L,2016-85753
CMSC 2,1,2013-2014,X,5L,2013-06551
CMSC 2,1,2007-2008,U,2L,2013-30258
CMSC 150,1,2008-2009,X,3L,2010-42925
CMSC 161,2,2014-2015,Y,6L,2010-16390
CMSC 124,2,2014-2015,Y,4L,2013-71717
CMSC 11,1,2011-2012,Z,5L,2019-81316
CMSC 131,2,2015-2016,W,3L,2018-26166
CMSC 22,1,2009-2010,W,6L,2015-20954
CMSC 124,1,2013-2014,X,2L,2013-76745
CMSC 150,1,2015-2016,V,1L,2010-66948
CMSC 170,2,2009-2010,W,3L,2014-47742
CMSC 2,1,2006-2007,X,4L,2019-30522
CMSC 161,2,2009-2010,V,1L,2019-32399
CMSC 22,1,2012-2013,V,5L,2014-37836
CMSC 191,1,2009-2010,X,4L,2012-79900
CMSC 190-1,1,2014-2015,Z,2L,2017-27509
CMSC 123,1,2008-2009,Y,2L,2016-93768
CMSC 190-1,1,2007-2008,U,6L,2010-03770
CMSC 198,2,2010-2011,U,4L,2019-75173
CMSC 170,1,2014-2015,X,4L,2012-06493
CMSC 130,1,2015-2016,X,2L,2012-16619
CMSC 130,1,2009-2010,V,6L,2010-74053
CMSC 2,1,2007-2008,V,5L,2011-65371
CMSC 190-2,2,2013-2014,X,2L,2016-45704
CMSC 170,2,2010-2011,Y,1L,2010-92650
CMSC 132,1,2015-2016,W,6L,2014-60713
CMSC 21,1,2015-2016,V,1L,2015-31518
CMSC 190-2,2,2008-2009,X,3L,2015-07527
CMSC 124,1,2011-2012,Y,3L,2011-10448
CMSC 2,1,2013-2014,V,5L,2011-46938
CMSC 21,2,2012-2013,X,5L,2019-46826
CMSC 191,1,2012-2013,U,3L,2013-00810
CMSC 125,2,2014-2015,V,4L,2011-05337
CMSC 22,2,2011-2012,U,2L,2016-20054
CMSC 22,2,2007-2008,U,4L,2017-81367
CMSC 150,2,2007-2008,Y,4L,2014-16220
CMSC 170,2,2011-2012,X,4L,2019-20262
CMSC 123,2,2010-2011,W,2L,2016-92566
CMSC 22,1,2014-2015,V,4L,2014-99705
CMSC 11,1,2006-2007,W,5L,2016-07193
CMSC 22,1,2015-2016,Y,4L,2013-79927
CMSC 132,2,2011-2012,V,5L,2016-59638
CMSC 165,1,2012-2013,X,3L,2011-12242
CMSC 198,2,2008-2009,W,2L,2014-59481
CMSC 22,2,2011-2012,Y,4L,2010-22853
CMSC 161,1,2014-2015,V,5L,2010-18363
CMSC 124,2,2012-2013,U,6L,2011-51997
CMSC 190-1,1,2008-2009,Z,2L,2017-27201
CMSC 190-1,1,2008-2009,V,2L,2016-98842
CMSC 132,2,2014-2015,Z,5L,2018-80201
CMSC 191,2,2008-2009,Y,1L,2013-76299
CMSC 128,2,2007-2008,Y,4L,2010-82539
CMSC 124,1,2006-2007,W,2L,2011-61538
CMSC 165,2,2011-2012,Z,5L,2012-45119
CMSC 125,2,2008-2009,V,4L,2012-16853
CMSC 190-2,2,2009-2010,X,2L,2013-61082
CMSC 22,2,2015-2016,U,6L,2016-60503
CMSC 2,2,2011-2012,W,5L,2011-99487
CMSC 150,2,2015-2016,U,1L,2011-52852
CMSC 131,2,2009-2010,Y,4L,2011-36609
CMSC 124,1,2010-2011,Z,4L,2010-97199
CMSC 21,1,2011-2012,Y,3L,2017-69062
CMSC 190-2,2,2009-2010,Z,1L,2015-71758
CMSC 21,1,2012-2013,U,4L,2011-26122
CMSC 198,1,2015-2016,U,4L,2018-77538
CMSC 11,2,2014-2015,Y,3L,2018-03942
CMSC 190-1,2,2012-2013,W,6L,2015-73274
CMSC 21,2,2007-2008,Z,1L,2013-82395
CMSC 161,1,2007-2008,Z,5L,2014-88378
CMSC 125,1,2009-2010,Z,5L,2018-48437
CMSC 123,2,2010-2011,X,4L,2018-11884
CMSC 124,1,2006-2007,Y,5L,2012-93171
CMSC 130,2,2015-2016,Y,4L,2012-14033
CMSC 125,1,2008-2009,Z,3L,2017-22998
CMSC 21,2,2011-2012,U,2L,2016-39872
CMSC 170,2,2007-2008,Z,1L,2019-68026
CMSC 132,2,2013-2014,U,2L,2015-53738
CMSC 21,2,2008-2009,X,5L,2019-99930
CMSC 125,2,2015-2016,X,6L,2013-62114
CMSC 191,2,2013-2014,Y,1L,2017-28633
CMSC 190-1,2,2012-2013,U,5L,2017-30211
CMSC 191,2,2006-2007,Y,6L,2011-56924
CMSC 132,2,2010-2011,X,2L,2012-50778
CMSC 22,2,2013-2014,Z,2L,2010-52567
CMSC 11,1,2013-2014,Y,4L,2015-45476
CMSC 190-1,1,2013-2014,W,6L,2017-59461
CMSC 191,1,2009-2010,U,2L,2015-84279
CMSC 128,1,2015-2016,V,6L,2013-13556
CMSC 190-1,2,2010-2011,X,4L,2014-47649
CMSC 2,1,2011-2012,W,2L,2016-60672
CMSC 131,2,2007-2008,W,6L,2017-11223
CMSC 190-2,2,2010-2011,U,6L,2012-37292
CMSC 161,2,2009-2010,U,3L,2011-92579
CMSC 190-1,2,2007-2008,Z,2L,2012-03119
CMSC 22,2,2014-2015,Y,2L,2014-79041
CMSC 150,1,2015-2016,Z,2L,2017-36229
CMSC 125,2,2013-2014,W,6L,2015-63285
CMSC 190-2,2,2008-2009,X,6L,2014-08628
CMSC 161,1,2013-2014,Y,3L,2011-96312
CMSC 165,2,2009-2010,U,6L,2012-63006
CMSC 128,1,2014-2015,W,2L,2018-95374
CMSC 132,2,2007-2008,W,5L,2017-06568
CMSC 123,2,2007-2008,W,2L,2012-91156
CMSC 150,2,2015-2016,Y,5L,2019-90565
CMSC 2,1,2006-2007,W,1L,2019-39883
CMSC 123,1,2010-2011,Y,6L,2014-40813
CMSC 191,1,2011-2012,U,5L,2019-21178
CMSC 21,1,2011-2012,X,4L,2010-70927
CMSC 190-2,2,2006-2007,U,6L,2014-42946
CMSC 21,1,2006-2007,Y,2L,2016-76933
CMSC 2,1,2006-2007,Z,3L,2018-21281
CMSC 161,2,2010-2011,V,6L,2019-90357
CMSC 11,1,2008-2009,V,6L,2018-60739
CMSC 22,2,2006-2007,V,5L,2013-49888
CMSC 191,2,2007-2008,W,1L,2013-26477
CMSC 190-1,1,2012-2013,X,3L,2013-12549
CMSC 190-1,2,2007-2008,Z,1L,2013-13232
CMSC 132,2,2007-2008,X,1L,2016-42068
CMSC 130,1,2012-2013,Z,2L,2019-46439
CMSC 191,1,2015-2016,U,4L,2015-66131
CMSC 130,2,2012-2013,X,6L,2017-03229
CMSC 124,2,2014-2015,U,2L,2015-72349
CMSC 123,2,2006-2007,W,3L,2016-67779
CMSC 2,1,2007-2008,U,4L,2019-71300
CMSC 170,2,2008-2009,Y,4L,2018-08639
CMSC 128,1,2014-2015,Y,6L,2019-54246
CMSC 124,1,2006-2007,U,2L,2016-48530
CMSC 198,2,2006-2007,V,5L,2016-09460
CMSC 150,2,2010-2011,V,3L,2013-07695
CMSC 128,2,2011-2012,X,1L,2014-77273
CMSC 190-2,1,2010-2011,U,4L,2016-86669
CMSC 124,1,2014-2015,Z,6L,2013-24168
CMSC 170,1,2015-2016,Y,6L,2019-57378
CMSC 123,2,2008-2009,U,1L,2013-69012
CMSC 191,1,2013-2014,U,6L,2017-73829
CMSC 165,1,2006-2007,U,6L,2011-91395
CMSC 131,1,2006-2007,V,2L,2016-10195
CMSC 165,2,2009-2010,V,4L,2010-81133
CMSC 165,2,2014-2015,Y,2L,2012-93093
CMSC 2,1,2010-2011,V,1L,2016-93257
CMSC 170,2,2015-2016,X,3L,2019-20599
CMSC 125,2,2010-2011,V,4L,2010-27240
CMSC 11,1,2007-2008,Y,2L,2013-74860
CMSC 22,1,2015-2016,X,6L,2016-00818
CMSC 21,1,2013-2014,Y,3L,2013-49060
CMSC 150,2,2015-2016,X,6L,2014-80575
CMSC 2,2,2013-2014,W,5L,2011-47297
CMSC 191,1,2011-2012,Y,5L,2019-21056
CMSC 124,1,2013-2014,Y,1L,2014-76729
CMSC 131,1,2006-2007,V,1L,2013-22573
CMSC 190-2,1,2013-2014,W,2L,2012-18303
CMSC 190-2,1,2015-2016,V,2L,2019-73486
CMSC 11,2,2009-2010,V,4L,2018-73323
CMSC 165,1,2011-2012,U,3L,2014-02221
CMSC 150,2,2006-2007,Y,3L,2017-27341
CMSC 165,2,2006-2007,U,6L,2018-47178
CMSC 165,2,2010-2011,V,1L,2017-57457
CMSC 150,2,2007-2008,U,4L,2015-00879
CMSC 11,2,2010-2011,V,5L,2012-09491
CMSC 161,1,2012-2013,X,5L,2015-30667
CMSC 22,1,2011-2012,X,3L,2012-89924
CMSC 125,2,2009-2010,Z,6L,2015-49108
CMSC 123,2,2007-2008,Y,4L,2016-42878
CMSC 190-2,1,2006-2007,Y,1L,2010-68914
CMSC 21,1,2014-2015,X,3L,2010-25827
CMSC 132,1,2009-2010,Z,6L,2019-85068
CMSC 190-1,1,2014-2015,W,6L,2012-44251
CMSC 128,2,2008-2009,X,6L,2014-68015
CMSC 130,1,2007-2008,V,4L,2016-22184
CMSC 131,1,2012-2013,Z,2L,2011-11498
CMSC 150,2,2007-2008,U,1L,2014-62206
CMSC 128,2,2015-2016,U,4L,2011-88348
CMSC 191,1,2009-2010,Y,2L,2019-42034
CMSC 190-1,2,2013-2014,V,6L,2010-44280
CMSC 170,1,2015-2016,Y,5L,2014-22315
CMSC 190-2,1,2011-2012,V,6L,2013-16192
CMSC 124,2,2013-2014,U,2L,2011-30354
CMSC 128,2,2014-2015,Y,2L,2016-06311
CMSC 191,1,2015-2016,Y,1L,2017-62629
CMSC 21,2,2009-2010,W,2L,2017-60664
CMSC 130,1,2006-2007,Z,3L,2010-69791
CMSC 132,2,2010-2011,Z,5L,2016-92480
CMSC 130,1,2012-2013,Y,1L,2010-98546
CMSC 21,1,2007-2008,Z,1L,2010-83882
CMSC 2,2,2007-2008,W,3L,2011-03781
CMSC 131,2,2008-2009,X,2L,2010-47956
CMSC 2,1,2012-2013,W,4L,2011-67747
CMSC 190-1,2,2014-2015,Z,3L,2012-47243
CMSC 198,1,2007-2008,W,1L,2013-65079
CMSC 161,2,2006-2007,X,6L,2011-42593
CMSC 2,1,2011-2012,W,4L,2017-87824
CMSC 198,1,2010-2011,U,3L,2018-42309
CMSC 170,2,2006-2007,W,1L,2019-31028
CMSC 21,1,2010-2011,X,4L,2016-15170
CMSC 22,2,2007-2008,Y,2L,2016-28962
CMSC 191,2,2008-2009,U,4L,2017-70882
CMSC 2,2,2015-2016,U,6L,2015-72129
CMSC 190-1,1,2010-2011,Z,5L,2016-51222
CMSC 123,2,2011-2012,U,6L,2016-38062
CMSC 170,2,2011-2012,X,6L,2014-03656
CMSC 22,1,2008-2009,W,6L,2017-72447
CMSC 131,1,2010-2011,Y,1L,2012-11751
CMSC 125,1,2008-2009,U,5L,2013-01795
CMSC 124,1,2014-2015,Z,1L,2010-95843
